training_condition,model,eval_set,rows,positive_rows,predicted_positive_at_0_50,prob_positive_median,prob_positive_p95,prob_positive_max,mean_prob_true_negative,mean_prob_true_positive,default_f1_macro,best_threshold_by_macro_f1,best_f1_macro,macro_f1_gain_from_threshold,default_recall_positive,best_recall_positive,positive_recall_gain_from_threshold,default_f1_positive,best_f1_positive,positive_f1_gain_from_threshold,split_policy
initial,mbert,kaggle_hinglish_hate,956,373,99,0.3182636052370071,0.913065105676651,0.9410941004753112,0.2855785686049872,0.4416588799223983,0.5780367231638418,0.3600000000000001,0.6556050010595464,0.07756827789570464,0.2305630026809651,0.5308310991957105,0.3002680965147454,0.3644067796610169,0.5641025641025641,0.19969578444154718,stratified_80_20_split_seed42
initial,mbert,cm_splits_codemixed,415,147,167,0.4284548759460449,0.8542575240135193,0.914305865764618,0.447019988663995,0.5062443982987177,0.559447983014862,0.5,0.559447983014862,0.0,0.4829931972789115,0.4829931972789115,0.0,0.4522292993630573,0.4522292993630573,0.0,provided_test_split
initial,mbert,thar_religion,2310,1091,404,0.3544995933771133,0.682468381524086,0.9108550548553468,0.3578965392229594,0.3822312535193947,0.4516569899665552,0.3400000000000001,0.550113170411678,0.09845618044512278,0.1769019248395967,0.5985334555453712,0.42163153070577447,0.2581939799331104,0.5569296375266525,0.2987356575935421,stratified_80_20_split_seed42
initial,muril,kaggle_hinglish_hate,956,373,156,0.318251833319664,0.8611028045415878,0.8861736059188843,0.2815630424953038,0.4746863958862767,0.6380406420386902,0.4000000000000002,0.6913899530017393,0.05334931096304918,0.3378016085790885,0.5067024128686327,0.16890080428954424,0.4763705103969754,0.5897035881435257,0.11333307774655033,stratified_80_20_split_seed42
initial,muril,cm_splits_codemixed,415,147,79,0.2543454468250274,0.8263202011585236,0.884895920753479,0.270649649425229,0.4209981683362909,0.5561302232901599,0.3200000000000001,0.6738886394252357,0.11775841613507576,0.272108843537415,0.6122448979591837,0.3401360544217687,0.3539823008849557,0.5882352941176471,0.2342529932326914,provided_test_split
initial,muril,thar_religion,2310,1091,197,0.3018121123313904,0.5751352131366728,0.8850396871566772,0.2780497335417042,0.3356660907280543,0.4380578318283835,0.2900000000000001,0.5891681732630507,0.15111034143466723,0.1118240146654445,0.618698441796517,0.5068744271310726,0.1894409937888198,0.58721183123097,0.3977708374421502,stratified_80_20_split_seed42
kaggle_hinglish_hate,mbert,internal_validation,956,373,188,0.2790921777486801,0.901576653122902,0.988535225391388,0.2852725694866573,0.5016305077890928,0.6556482225485578,0.3200000000000001,0.672162689645014,0.01651446709645621,0.3860589812332439,0.5978552278820375,0.2117962466487936,0.5133689839572193,0.5994623655913979,0.08609338163417857,stratified_80_20_split_seed42
kaggle_hinglish_hate,mbert,kaggle_hinglish_hate,956,373,188,0.2790921777486801,0.901576653122902,0.988535225391388,0.2852725694866573,0.5016305077890928,0.6556482225485578,0.3200000000000001,0.672162689645014,0.01651446709645621,0.3860589812332439,0.5978552278820375,0.2117962466487936,0.5133689839572193,0.5994623655913979,0.08609338163417857,stratified_80_20_split_seed42
kaggle_hinglish_hate,mbert,cm_splits_codemixed,415,147,64,0.2404580265283584,0.5236276626586914,0.976881206035614,0.318957525347151,0.3362781666979498,0.5138543285684753,0.4900000000000002,0.5563508414218862,0.04249651285341083,0.1972789115646258,0.2993197278911564,0.10204081632653061,0.2748815165876777,0.3682008368200837,0.09331932023240602,provided_test_split
kaggle_hinglish_hate,mbert,thar_religion,2310,1091,351,0.2405711933970451,0.5262591421604157,0.904667854309082,0.2861848105726132,0.3096423654737656,0.4475367667275626,0.26,0.5598552357437316,0.11231846901616904,0.1585701191567369,0.5096241979835013,0.3510540788267644,0.2399445214979195,0.5240339302544769,0.28408940875655736,stratified_80_20_split_seed42
kaggle_hinglish_hate,muril,internal_validation,956,373,104,0.3418378680944443,0.6266596913337708,0.6274611353874207,0.3571733238868811,0.4135283212559472,0.5656418235341383,0.3500000000000001,0.6456872178434148,0.08004539430927649,0.2225201072386059,0.5201072386058981,0.2975871313672922,0.3480083857442348,0.5519203413940256,0.20391195564979075,stratified_80_20_split_seed42
kaggle_hinglish_hate,muril,kaggle_hinglish_hate,956,373,104,0.3418378680944443,0.6266596913337708,0.6274611353874207,0.3571733238868811,0.4135283212559472,0.5656418235341383,0.3500000000000001,0.6456872178434148,0.08004539430927649,0.2225201072386059,0.5201072386058981,0.2975871313672922,0.3480083857442348,0.5519203413940256,0.20391195564979075,stratified_80_20_split_seed42
kaggle_hinglish_hate,muril,cm_splits_codemixed,415,147,37,0.379239410161972,0.5107106268405914,0.6269593238830566,0.3961163628012387,0.4035757514489751,0.5042233140395747,0.4700000000000002,0.5562536585365854,0.052030344497010717,0.1428571428571428,0.2312925170068027,0.0884353741496599,0.2282608695652173,0.3317073170731707,0.1034464475079534,provided_test_split
kaggle_hinglish_hate,muril,thar_religion,2310,1091,173,0.3439009934663772,0.5098110556602478,0.517138659954071,0.3675470715228214,0.3728517307588313,0.4097007438028998,0.3500000000000001,0.5323063880948444,0.12260564429194465,0.0824931255728689,0.46012832263978,0.37763519706691107,0.1424050632911392,0.4843222383019778,0.3419171750108386,stratified_80_20_split_seed42
mixed_kaggle_plus_cm,mbert,internal_validation,1444,548,407,0.2900955975055694,0.915454077720642,0.9876968264579772,0.2365453850818864,0.5714799538560646,0.7254388507135641,0.4100000000000002,0.7506915018154003,0.025252651101836276,0.551094890510949,0.677007299270073,0.12591240875912402,0.6324607329842932,0.6876737720111215,0.05521303902682828,stratified_80_20_split_seed42
mixed_kaggle_plus_cm,mbert,kaggle_hinglish_hate,956,373,224,0.2988948076963424,0.9278390854597092,0.987856388092041,0.2697168352916249,0.5335509556348138,0.6846029895994548,0.4100000000000002,0.7046333486038162,0.020030359004361453,0.453083109919571,0.579088471849866,0.126005361930295,0.5661641541038526,0.6233766233766234,0.057212469272770794,stratified_80_20_split_seed42
mixed_kaggle_plus_cm,mbert,cm_splits_codemixed,415,147,135,0.2814184427261352,0.8360812544822692,0.9382578730583192,0.2327312892858884,0.5508559913608898,0.7153414091214991,0.4400000000000002,0.7501505117399158,0.03480910261841663,0.5986394557823129,0.7006802721088435,0.10204081632653061,0.624113475177305,0.6821192052980133,0.05800573012070831,provided_test_split
mixed_kaggle_plus_cm,mbert,thar_religion,2310,1091,451,0.2663036733865738,0.6780713975429534,0.8912672400474548,0.2907466881826728,0.3455247439505527,0.4928613506673442,0.26,0.5791589476612069,0.08629759699386269,0.229147571035747,0.6003666361136571,0.37121906507791014,0.324254215304799,0.5740578439964943,0.2498036286916953,stratified_80_20_split_seed42
mixed_kaggle_plus_cm,muril,internal_validation,1444,548,0,0.3956583738327026,0.4658550530672073,0.4658767580986023,0.3935072473250329,0.4149835670407671,0.3829059829059829,0.4200000000000002,0.6186955373646685,0.23578955445868566,0.0,0.5164233576642335,0.5164233576642335,0.0,0.5231053604436229,0.5231053604436229,stratified_80_20_split_seed42
mixed_kaggle_plus_cm,muril,kaggle_hinglish_hate,956,373,0,0.399324283003807,0.4658575430512428,0.4658700823783874,0.3956423362471022,0.4179809056721807,0.3788174139051332,0.4000000000000002,0.6120181496413982,0.23320073573626504,0.0,0.6434316353887399,0.6434316353887399,0.0,0.5673758865248227,0.5673758865248227,stratified_80_20_split_seed42
mixed_kaggle_plus_cm,muril,cm_splits_codemixed,415,147,0,0.3936342000961303,0.4658536165952682,0.4658617377281189,0.3938525253489836,0.4118045523864071,0.3923865300146413,0.4300000000000002,0.5923670875371596,0.1999805575225183,0.0,0.4353741496598639,0.4353741496598639,0.0,0.4587813620071684,0.4587813620071684,provided_test_split
mixed_kaggle_plus_cm,muril,thar_religion,2310,1091,0,0.3706030547618866,0.4658547937870025,0.4659297466278076,0.3846329307096526,0.394805444587162,0.345423632757155,0.3800000000000001,0.5687283479891971,0.22330471523204215,0.0,0.4637946837763519,0.4637946837763519,0.0,0.5087983911513323,0.5087983911513323,stratified_80_20_split_seed42
