model,train_dataset,test_dataset,error_type,rank,token,count
mbert,cm_splits_codemixed,cm_splits_codemixed,false_negative,1,can,7
mbert,cm_splits_codemixed,cm_splits_codemixed,false_negative,2,में,7
mbert,cm_splits_codemixed,cm_splits_codemixed,false_negative,3,like,6
mbert,cm_splits_codemixed,cm_splits_codemixed,false_negative,4,talaq,6
mbert,cm_splits_codemixed,cm_splits_codemixed,false_negative,5,man,5
mbert,cm_splits_codemixed,cm_splits_codemixed,false_negative,6,uapa,5
mbert,cm_splits_codemixed,cm_splits_codemixed,false_negative,7,gandhi,4
mbert,cm_splits_codemixed,cm_splits_codemixed,false_negative,8,what,4
mbert,cm_splits_codemixed,cm_splits_codemixed,false_negative,9,nehru,4
mbert,cm_splits_codemixed,cm_splits_codemixed,false_negative,10,सुप्रीम,4
mbert,cm_splits_codemixed,cm_splits_codemixed,false_negative,11,bill,4
mbert,cm_splits_codemixed,cm_splits_codemixed,false_negative,12,right,4
mbert,cm_splits_codemixed,cm_splits_codemixed,false_negative,13,ipl,4
mbert,cm_splits_codemixed,cm_splits_codemixed,false_negative,14,back,4
mbert,cm_splits_codemixed,cm_splits_codemixed,false_negative,15,india,3
mbert,cm_splits_codemixed,cm_splits_codemixed,false_negative,16,about,3
mbert,cm_splits_codemixed,cm_splits_codemixed,false_negative,17,which,3
mbert,cm_splits_codemixed,cm_splits_codemixed,false_negative,18,maritalrape,3
mbert,cm_splits_codemixed,cm_splits_codemixed,false_negative,19,every,3
mbert,cm_splits_codemixed,cm_splits_codemixed,false_negative,20,hijab,3
mbert,cm_splits_codemixed,cm_splits_codemixed,false_positive,1,nahi,8
mbert,cm_splits_codemixed,cm_splits_codemixed,false_positive,2,bhi,8
mbert,cm_splits_codemixed,cm_splits_codemixed,false_positive,3,india,6
mbert,cm_splits_codemixed,cm_splits_codemixed,false_positive,4,patel,6
mbert,cm_splits_codemixed,cm_splits_codemixed,false_positive,5,मुसलमानों,6
mbert,cm_splits_codemixed,cm_splits_codemixed,false_positive,6,too,5
mbert,cm_splits_codemixed,cm_splits_codemixed,false_positive,7,gandhi,5
mbert,cm_splits_codemixed,cm_splits_codemixed,false_positive,8,diya,5
mbert,cm_splits_codemixed,cm_splits_codemixed,false_positive,9,women,5
mbert,cm_splits_codemixed,cm_splits_codemixed,false_positive,10,sardar,5
mbert,cm_splits_codemixed,cm_splits_codemixed,false_positive,11,congress,5
mbert,cm_splits_codemixed,cm_splits_codemixed,false_positive,12,लिए,5
mbert,cm_splits_codemixed,cm_splits_codemixed,false_positive,13,demonetisation,4
mbert,cm_splits_codemixed,cm_splits_codemixed,false_positive,14,bhagat,4
mbert,cm_splits_codemixed,cm_splits_codemixed,false_positive,15,singh,4
mbert,cm_splits_codemixed,cm_splits_codemixed,false_positive,16,किसी,4
mbert,cm_splits_codemixed,cm_splits_codemixed,false_positive,17,nhi,4
mbert,cm_splits_codemixed,cm_splits_codemixed,false_positive,18,time,4
mbert,cm_splits_codemixed,cm_splits_codemixed,false_positive,19,modi,4
mbert,cm_splits_codemixed,cm_splits_codemixed,false_positive,20,sab,4
mbert,cm_splits_codemixed,kaggle_hinglish_hate,false_negative,1,hate,67
mbert,cm_splits_codemixed,kaggle_hinglish_hate,false_negative,2,rape,54
mbert,cm_splits_codemixed,kaggle_hinglish_hate,false_negative,3,bhi,31
mbert,cm_splits_codemixed,kaggle_hinglish_hate,false_negative,4,nahi,15
mbert,cm_splits_codemixed,kaggle_hinglish_hate,false_negative,5,karte,12
mbert,cm_splits_codemixed,kaggle_hinglish_hate,false_negative,6,nafrat,12
mbert,cm_splits_codemixed,kaggle_hinglish_hate,false_negative,7,nhi,10
mbert,cm_splits_codemixed,kaggle_hinglish_hate,false_negative,8,main,10
mbert,cm_splits_codemixed,kaggle_hinglish_hate,false_negative,9,kisi,10
mbert,cm_splits_codemixed,kaggle_hinglish_hate,false_negative,10,baat,9
mbert,cm_splits_codemixed,kaggle_hinglish_hate,false_negative,11,kiya,9
mbert,cm_splits_codemixed,kaggle_hinglish_hate,false_negative,12,log,8
mbert,cm_splits_codemixed,kaggle_hinglish_hate,false_negative,13,desh,8
mbert,cm_splits_codemixed,kaggle_hinglish_hate,false_negative,14,tum,7
mbert,cm_splits_codemixed,kaggle_hinglish_hate,false_negative,15,jab,7
mbert,cm_splits_codemixed,kaggle_hinglish_hate,false_negative,16,aap,7
mbert,cm_splits_codemixed,kaggle_hinglish_hate,false_negative,17,diya,7
mbert,cm_splits_codemixed,kaggle_hinglish_hate,false_negative,18,raha,7
mbert,cm_splits_codemixed,kaggle_hinglish_hate,false_negative,19,toh,7
mbert,cm_splits_codemixed,kaggle_hinglish_hate,false_negative,20,hoga,7
mbert,cm_splits_codemixed,kaggle_hinglish_hate,false_positive,1,rape,123
mbert,cm_splits_codemixed,kaggle_hinglish_hate,false_positive,2,terrorism,66
mbert,cm_splits_codemixed,kaggle_hinglish_hate,false_positive,3,nahi,59
mbert,cm_splits_codemixed,kaggle_hinglish_hate,false_positive,4,hate,55
mbert,cm_splits_codemixed,kaggle_hinglish_hate,false_positive,5,bhi,52
mbert,cm_splits_codemixed,kaggle_hinglish_hate,false_positive,6,raha,27
mbert,cm_splits_codemixed,kaggle_hinglish_hate,false_positive,7,liye,27
mbert,cm_splits_codemixed,kaggle_hinglish_hate,false_positive,8,koi,26
mbert,cm_splits_codemixed,kaggle_hinglish_hate,false_positive,9,log,25
mbert,cm_splits_codemixed,kaggle_hinglish_hate,false_positive,10,tum,24
mbert,cm_splits_codemixed,kaggle_hinglish_hate,false_positive,11,pakistan,22
mbert,cm_splits_codemixed,kaggle_hinglish_hate,false_positive,12,sab,21
mbert,cm_splits_codemixed,kaggle_hinglish_hate,false_positive,13,aap,20
mbert,cm_splits_codemixed,kaggle_hinglish_hate,false_positive,14,nhi,19
mbert,cm_splits_codemixed,kaggle_hinglish_hate,false_positive,15,bhai,19
mbert,cm_splits_codemixed,kaggle_hinglish_hate,false_positive,16,toh,18
mbert,cm_splits_codemixed,kaggle_hinglish_hate,false_positive,17,main,18
mbert,cm_splits_codemixed,kaggle_hinglish_hate,false_positive,18,rahe,17
mbert,cm_splits_codemixed,kaggle_hinglish_hate,false_positive,19,modi,17
mbert,cm_splits_codemixed,kaggle_hinglish_hate,false_positive,20,hota,17
mbert,cm_splits_codemixed,thar_religion,false_negative,1,में,151
mbert,cm_splits_codemixed,thar_religion,false_negative,2,नहीं,106
mbert,cm_splits_codemixed,thar_religion,false_negative,3,हैं,97
mbert,cm_splits_codemixed,thar_religion,false_negative,4,धर्म,77
mbert,cm_splits_codemixed,thar_religion,false_negative,5,hindu,74
mbert,cm_splits_codemixed,thar_religion,false_negative,6,नही,69
mbert,cm_splits_codemixed,thar_religion,false_negative,7,nahi,53
mbert,cm_splits_codemixed,thar_religion,false_negative,8,bhi,52
mbert,cm_splits_codemixed,thar_religion,false_negative,9,लिए,51
mbert,cm_splits_codemixed,thar_religion,false_negative,10,pakistan,48
mbert,cm_splits_codemixed,thar_religion,false_negative,11,इस्लाम,45
mbert,cm_splits_codemixed,thar_religion,false_negative,12,कोई,40
mbert,cm_splits_codemixed,thar_religion,false_negative,13,nhi,37
mbert,cm_splits_codemixed,thar_religion,false_negative,14,भारत,36
mbert,cm_splits_codemixed,thar_religion,false_negative,15,बात,35
mbert,cm_splits_codemixed,thar_religion,false_negative,16,मौलाना,34
mbert,cm_splits_codemixed,thar_religion,false_negative,17,है।,34
mbert,cm_splits_codemixed,thar_religion,false_negative,18,क्या,33
mbert,cm_splits_codemixed,thar_religion,false_negative,19,हिन्दू,30
mbert,cm_splits_codemixed,thar_religion,false_negative,20,allah,29
mbert,cm_splits_codemixed,thar_religion,false_positive,1,nahi,146
mbert,cm_splits_codemixed,thar_religion,false_positive,2,bhi,117
mbert,cm_splits_codemixed,thar_religion,false_positive,3,hindu,90
mbert,cm_splits_codemixed,thar_religion,false_positive,4,aap,86
mbert,cm_splits_codemixed,thar_religion,false_positive,5,log,75
mbert,cm_splits_codemixed,thar_religion,false_positive,6,koi,69
mbert,cm_splits_codemixed,thar_religion,false_positive,7,nhi,67
mbert,cm_splits_codemixed,thar_religion,false_positive,8,apne,66
mbert,cm_splits_codemixed,thar_religion,false_positive,9,sab,65
mbert,cm_splits_codemixed,thar_religion,false_positive,10,dharm,65
mbert,cm_splits_codemixed,thar_religion,false_positive,11,muslim,63
mbert,cm_splits_codemixed,thar_religion,false_positive,12,yeshu,49
mbert,cm_splits_codemixed,thar_religion,false_positive,13,par,45
mbert,cm_splits_codemixed,thar_religion,false_positive,14,bhai,42
mbert,cm_splits_codemixed,thar_religion,false_positive,15,liye,42
mbert,cm_splits_codemixed,thar_religion,false_positive,16,islam,40
mbert,cm_splits_codemixed,thar_religion,false_positive,17,tum,37
mbert,cm_splits_codemixed,thar_religion,false_positive,18,dharam,36
mbert,cm_splits_codemixed,thar_religion,false_positive,19,jesus,33
mbert,cm_splits_codemixed,thar_religion,false_positive,20,rahe,32
mbert,kaggle_hinglish_hate,cm_splits_codemixed,false_negative,1,can,14
mbert,kaggle_hinglish_hate,cm_splits_codemixed,false_negative,2,golwalkar,13
mbert,kaggle_hinglish_hate,cm_splits_codemixed,false_negative,3,hijab,12
mbert,kaggle_hinglish_hate,cm_splits_codemixed,false_negative,4,nhi,12
mbert,kaggle_hinglish_hate,cm_splits_codemixed,false_negative,5,gandhi,11
mbert,kaggle_hinglish_hate,cm_splits_codemixed,false_negative,6,his,10
mbert,kaggle_hinglish_hate,cm_splits_codemixed,false_negative,7,nehru,10
mbert,kaggle_hinglish_hate,cm_splits_codemixed,false_negative,8,muslim,10
mbert,kaggle_hinglish_hate,cm_splits_codemixed,false_negative,9,like,10
mbert,kaggle_hinglish_hate,cm_splits_codemixed,false_negative,10,hindu,10
mbert,kaggle_hinglish_hate,cm_splits_codemixed,false_negative,11,ghar,10
mbert,kaggle_hinglish_hate,cm_splits_codemixed,false_negative,12,wapasi,10
mbert,kaggle_hinglish_hate,cm_splits_codemixed,false_negative,13,india,9
mbert,kaggle_hinglish_hate,cm_splits_codemixed,false_negative,14,love,9
mbert,kaggle_hinglish_hate,cm_splits_codemixed,false_negative,15,jihad,9
mbert,kaggle_hinglish_hate,cm_splits_codemixed,false_negative,16,who,9
mbert,kaggle_hinglish_hate,cm_splits_codemixed,false_negative,17,amp,8
mbert,kaggle_hinglish_hate,cm_splits_codemixed,false_negative,18,about,8
mbert,kaggle_hinglish_hate,cm_splits_codemixed,false_negative,19,man,8
mbert,kaggle_hinglish_hate,cm_splits_codemixed,false_negative,20,talaq,8
mbert,kaggle_hinglish_hate,cm_splits_codemixed,false_positive,1,bhi,8
mbert,kaggle_hinglish_hate,cm_splits_codemixed,false_positive,2,just,6
mbert,kaggle_hinglish_hate,cm_splits_codemixed,false_positive,3,continue,5
mbert,kaggle_hinglish_hate,cm_splits_codemixed,false_positive,4,amp,5
mbert,kaggle_hinglish_hate,cm_splits_codemixed,false_positive,5,sab,5
mbert,kaggle_hinglish_hate,cm_splits_codemixed,false_positive,6,ipl,4
mbert,kaggle_hinglish_hate,cm_splits_codemixed,false_positive,7,diya,4
mbert,kaggle_hinglish_hate,cm_splits_codemixed,false_positive,8,nahi,4
mbert,kaggle_hinglish_hate,cm_splits_codemixed,false_positive,9,rahe,4
mbert,kaggle_hinglish_hate,cm_splits_codemixed,false_positive,10,nhi,4
mbert,kaggle_hinglish_hate,cm_splits_codemixed,false_positive,11,india,4
mbert,kaggle_hinglish_hate,cm_splits_codemixed,false_positive,12,what,4
mbert,kaggle_hinglish_hate,cm_splits_codemixed,false_positive,13,people,4
mbert,kaggle_hinglish_hate,cm_splits_codemixed,false_positive,14,aap,4
mbert,kaggle_hinglish_hate,cm_splits_codemixed,false_positive,15,urban,3
mbert,kaggle_hinglish_hate,cm_splits_codemixed,false_positive,16,flooding,3
mbert,kaggle_hinglish_hate,cm_splits_codemixed,false_positive,17,know,3
mbert,kaggle_hinglish_hate,cm_splits_codemixed,false_positive,18,elon,3
mbert,kaggle_hinglish_hate,cm_splits_codemixed,false_positive,19,bhai,3
mbert,kaggle_hinglish_hate,cm_splits_codemixed,false_positive,20,bahut,3
mbert,kaggle_hinglish_hate,kaggle_hinglish_hate,false_negative,1,rape,142
mbert,kaggle_hinglish_hate,kaggle_hinglish_hate,false_negative,2,bhi,46
mbert,kaggle_hinglish_hate,kaggle_hinglish_hate,false_negative,3,hate,36
mbert,kaggle_hinglish_hate,kaggle_hinglish_hate,false_negative,4,nahi,35
mbert,kaggle_hinglish_hate,kaggle_hinglish_hate,false_negative,5,tum,24
mbert,kaggle_hinglish_hate,kaggle_hinglish_hate,false_negative,6,nafrat,24
mbert,kaggle_hinglish_hate,kaggle_hinglish_hate,false_negative,7,terrorism,22
mbert,kaggle_hinglish_hate,kaggle_hinglish_hate,false_negative,8,kiya,19
mbert,kaggle_hinglish_hate,kaggle_hinglish_hate,false_negative,9,karte,19
mbert,kaggle_hinglish_hate,kaggle_hinglish_hate,false_negative,10,kisi,18
mbert,kaggle_hinglish_hate,kaggle_hinglish_hate,false_negative,11,koi,18
mbert,kaggle_hinglish_hate,kaggle_hinglish_hate,false_negative,12,desh,17
mbert,kaggle_hinglish_hate,kaggle_hinglish_hate,false_negative,13,bhai,16
mbert,kaggle_hinglish_hate,kaggle_hinglish_hate,false_negative,14,toh,15
mbert,kaggle_hinglish_hate,kaggle_hinglish_hate,false_negative,15,log,15
mbert,kaggle_hinglish_hate,kaggle_hinglish_hate,false_negative,16,hindu,14
mbert,kaggle_hinglish_hate,kaggle_hinglish_hate,false_negative,17,raha,14
mbert,kaggle_hinglish_hate,kaggle_hinglish_hate,false_negative,18,naam,13
mbert,kaggle_hinglish_hate,kaggle_hinglish_hate,false_negative,19,wale,13
mbert,kaggle_hinglish_hate,kaggle_hinglish_hate,false_negative,20,khud,13
mbert,kaggle_hinglish_hate,kaggle_hinglish_hate,false_positive,1,hate,30
mbert,kaggle_hinglish_hate,kaggle_hinglish_hate,false_positive,2,nahi,14
mbert,kaggle_hinglish_hate,kaggle_hinglish_hate,false_positive,3,rape,14
mbert,kaggle_hinglish_hate,kaggle_hinglish_hate,false_positive,4,shilpa,10
mbert,kaggle_hinglish_hate,kaggle_hinglish_hate,false_positive,5,koi,10
mbert,kaggle_hinglish_hate,kaggle_hinglish_hate,false_positive,6,nhi,8
mbert,kaggle_hinglish_hate,kaggle_hinglish_hate,false_positive,7,bhi,7
mbert,kaggle_hinglish_hate,kaggle_hinglish_hate,false_positive,8,apne,7
mbert,kaggle_hinglish_hate,kaggle_hinglish_hate,false_positive,9,raha,7
mbert,kaggle_hinglish_hate,kaggle_hinglish_hate,false_positive,10,liye,6
mbert,kaggle_hinglish_hate,kaggle_hinglish_hate,false_positive,11,rahi,6
mbert,kaggle_hinglish_hate,kaggle_hinglish_hate,false_positive,12,naam,5
mbert,kaggle_hinglish_hate,kaggle_hinglish_hate,false_positive,13,kiya,5
mbert,kaggle_hinglish_hate,kaggle_hinglish_hate,false_positive,14,rahe,5
mbert,kaggle_hinglish_hate,kaggle_hinglish_hate,false_positive,15,mujhe,5
mbert,kaggle_hinglish_hate,kaggle_hinglish_hate,false_positive,16,sab,5
mbert,kaggle_hinglish_hate,kaggle_hinglish_hate,false_positive,17,kaha,4
mbert,kaggle_hinglish_hate,kaggle_hinglish_hate,false_positive,18,jaise,4
mbert,kaggle_hinglish_hate,kaggle_hinglish_hate,false_positive,19,buddha,4
mbert,kaggle_hinglish_hate,kaggle_hinglish_hate,false_positive,20,bachi,4
mbert,kaggle_hinglish_hate,thar_religion,false_negative,1,hindu,160
mbert,kaggle_hinglish_hate,thar_religion,false_negative,2,nahi,127
mbert,kaggle_hinglish_hate,thar_religion,false_negative,3,muslim,120
mbert,kaggle_hinglish_hate,thar_religion,false_negative,4,bhi,111
mbert,kaggle_hinglish_hate,thar_religion,false_negative,5,में,99
mbert,kaggle_hinglish_hate,thar_religion,false_negative,6,islam,92
mbert,kaggle_hinglish_hate,thar_religion,false_negative,7,नहीं,80
mbert,kaggle_hinglish_hate,thar_religion,false_negative,8,nhi,79
mbert,kaggle_hinglish_hate,thar_religion,false_negative,9,हैं,77
mbert,kaggle_hinglish_hate,thar_religion,false_negative,10,allah,60
mbert,kaggle_hinglish_hate,thar_religion,false_negative,11,धर्म,57
mbert,kaggle_hinglish_hate,thar_religion,false_negative,12,pakistan,53
mbert,kaggle_hinglish_hate,thar_religion,false_negative,13,musalman,51
mbert,kaggle_hinglish_hate,thar_religion,false_negative,14,maulana,50
mbert,kaggle_hinglish_hate,thar_religion,false_negative,15,sab,47
mbert,kaggle_hinglish_hate,thar_religion,false_negative,16,log,45
mbert,kaggle_hinglish_hate,thar_religion,false_negative,17,bhai,43
mbert,kaggle_hinglish_hate,thar_religion,false_negative,18,tum,42
mbert,kaggle_hinglish_hate,thar_religion,false_negative,19,par,41
mbert,kaggle_hinglish_hate,thar_religion,false_negative,20,koi,38
mbert,kaggle_hinglish_hate,thar_religion,false_positive,1,nahi,108
mbert,kaggle_hinglish_hate,thar_religion,false_positive,2,bhi,86
mbert,kaggle_hinglish_hate,thar_religion,false_positive,3,aap,70
mbert,kaggle_hinglish_hate,thar_religion,false_positive,4,log,54
mbert,kaggle_hinglish_hate,thar_religion,false_positive,5,koi,53
mbert,kaggle_hinglish_hate,thar_religion,false_positive,6,dharm,52
mbert,kaggle_hinglish_hate,thar_religion,false_positive,7,sab,50
mbert,kaggle_hinglish_hate,thar_religion,false_positive,8,नहीं,49
mbert,kaggle_hinglish_hate,thar_religion,false_positive,9,apne,49
mbert,kaggle_hinglish_hate,thar_religion,false_positive,10,hindu,49
mbert,kaggle_hinglish_hate,thar_religion,false_positive,11,nhi,48
mbert,kaggle_hinglish_hate,thar_religion,false_positive,12,में,46
mbert,kaggle_hinglish_hate,thar_religion,false_positive,13,yeshu,44
mbert,kaggle_hinglish_hate,thar_religion,false_positive,14,par,38
mbert,kaggle_hinglish_hate,thar_religion,false_positive,15,धर्म,34
mbert,kaggle_hinglish_hate,thar_religion,false_positive,16,liye,34
mbert,kaggle_hinglish_hate,thar_religion,false_positive,17,jesus,29
mbert,kaggle_hinglish_hate,thar_religion,false_positive,18,hum,26
mbert,kaggle_hinglish_hate,thar_religion,false_positive,19,dharam,25
mbert,kaggle_hinglish_hate,thar_religion,false_positive,20,rahe,24
mbert,thar_religion,cm_splits_codemixed,false_negative,1,can,12
mbert,thar_religion,cm_splits_codemixed,false_negative,2,ghar,12
mbert,thar_religion,cm_splits_codemixed,false_negative,3,wapasi,11
mbert,thar_religion,cm_splits_codemixed,false_negative,4,nhi,9
mbert,thar_religion,cm_splits_codemixed,false_negative,5,bhi,9
mbert,thar_religion,cm_splits_codemixed,false_negative,6,amp,8
mbert,thar_religion,cm_splits_codemixed,false_negative,7,godse,8
mbert,thar_religion,cm_splits_codemixed,false_negative,8,man,8
mbert,thar_religion,cm_splits_codemixed,false_negative,9,hijab,8
mbert,thar_religion,cm_splits_codemixed,false_negative,10,golwalkar,8
mbert,thar_religion,cm_splits_codemixed,false_negative,11,nahi,8
mbert,thar_religion,cm_splits_codemixed,false_negative,12,gandhi,7
mbert,thar_religion,cm_splits_codemixed,false_negative,13,like,7
mbert,thar_religion,cm_splits_codemixed,false_negative,14,में,7
mbert,thar_religion,cm_splits_codemixed,false_negative,15,talaq,7
mbert,thar_religion,cm_splits_codemixed,false_negative,16,right,6
mbert,thar_religion,cm_splits_codemixed,false_negative,17,demonetisation,6
mbert,thar_religion,cm_splits_codemixed,false_negative,18,farmer,6
mbert,thar_religion,cm_splits_codemixed,false_negative,19,bill,6
mbert,thar_religion,cm_splits_codemixed,false_negative,20,nehru,6
mbert,thar_religion,cm_splits_codemixed,false_positive,1,gandhi,10
mbert,thar_religion,cm_splits_codemixed,false_positive,2,indian,10
mbert,thar_religion,cm_splits_codemixed,false_positive,3,nehru,8
mbert,thar_religion,cm_splits_codemixed,false_positive,4,patel,8
mbert,thar_religion,cm_splits_codemixed,false_positive,5,sardar,7
mbert,thar_religion,cm_splits_codemixed,false_positive,6,pakistan,6
mbert,thar_religion,cm_splits_codemixed,false_positive,7,india,6
mbert,thar_religion,cm_splits_codemixed,false_positive,8,nahi,6
mbert,thar_religion,cm_splits_codemixed,false_positive,9,singh,6
mbert,thar_religion,cm_splits_codemixed,false_positive,10,army,6
mbert,thar_religion,cm_splits_codemixed,false_positive,11,मुसलमानों,6
mbert,thar_religion,cm_splits_codemixed,false_positive,12,has,5
mbert,thar_religion,cm_splits_codemixed,false_positive,13,bhagat,5
mbert,thar_religion,cm_splits_codemixed,false_positive,14,modi,5
mbert,thar_religion,cm_splits_codemixed,false_positive,15,his,5
mbert,thar_religion,cm_splits_codemixed,false_positive,16,hindu,5
mbert,thar_religion,cm_splits_codemixed,false_positive,17,bhi,5
mbert,thar_religion,cm_splits_codemixed,false_positive,18,लिए,5
mbert,thar_religion,cm_splits_codemixed,false_positive,19,aap,5
mbert,thar_religion,cm_splits_codemixed,false_positive,20,about,4
mbert,thar_religion,kaggle_hinglish_hate,false_negative,1,rape,123
mbert,thar_religion,kaggle_hinglish_hate,false_negative,2,hate,106
mbert,thar_religion,kaggle_hinglish_hate,false_negative,3,bhi,67
mbert,thar_religion,kaggle_hinglish_hate,false_negative,4,nahi,39
mbert,thar_religion,kaggle_hinglish_hate,false_negative,5,tum,22
mbert,thar_religion,kaggle_hinglish_hate,false_negative,6,nhi,20
mbert,thar_religion,kaggle_hinglish_hate,false_negative,7,liye,18
mbert,thar_religion,kaggle_hinglish_hate,false_negative,8,log,18
mbert,thar_religion,kaggle_hinglish_hate,false_negative,9,nafrat,18
mbert,thar_religion,kaggle_hinglish_hate,false_negative,10,aap,18
mbert,thar_religion,kaggle_hinglish_hate,false_negative,11,kisi,18
mbert,thar_religion,kaggle_hinglish_hate,false_negative,12,kuch,16
mbert,thar_religion,kaggle_hinglish_hate,false_negative,13,koi,16
mbert,thar_religion,kaggle_hinglish_hate,false_negative,14,bhai,15
mbert,thar_religion,kaggle_hinglish_hate,false_negative,15,khud,15
mbert,thar_religion,kaggle_hinglish_hate,false_negative,16,raha,15
mbert,thar_religion,kaggle_hinglish_hate,false_negative,17,rahi,15
mbert,thar_religion,kaggle_hinglish_hate,false_negative,18,kiya,15
mbert,thar_religion,kaggle_hinglish_hate,false_negative,19,karte,14
mbert,thar_religion,kaggle_hinglish_hate,false_negative,20,rahe,14
mbert,thar_religion,kaggle_hinglish_hate,false_positive,1,terrorism,69
mbert,thar_religion,kaggle_hinglish_hate,false_positive,2,rape,62
mbert,thar_religion,kaggle_hinglish_hate,false_positive,3,nahi,27
mbert,thar_religion,kaggle_hinglish_hate,false_positive,4,pakistan,27
mbert,thar_religion,kaggle_hinglish_hate,false_positive,5,bhi,24
mbert,thar_religion,kaggle_hinglish_hate,false_positive,6,tum,20
mbert,thar_religion,kaggle_hinglish_hate,false_positive,7,log,20
mbert,thar_religion,kaggle_hinglish_hate,false_positive,8,hindu,16
mbert,thar_religion,kaggle_hinglish_hate,false_positive,9,liye,14
mbert,thar_religion,kaggle_hinglish_hate,false_positive,10,kashmir,14
mbert,thar_religion,kaggle_hinglish_hate,false_positive,11,sirf,13
mbert,thar_religion,kaggle_hinglish_hate,false_positive,12,raha,13
mbert,thar_religion,kaggle_hinglish_hate,false_positive,13,sab,12
mbert,thar_religion,kaggle_hinglish_hate,false_positive,14,hota,12
mbert,thar_religion,kaggle_hinglish_hate,false_positive,15,main,12
mbert,thar_religion,kaggle_hinglish_hate,false_positive,16,hum,11
mbert,thar_religion,kaggle_hinglish_hate,false_positive,17,kiya,11
mbert,thar_religion,kaggle_hinglish_hate,false_positive,18,rahe,11
mbert,thar_religion,kaggle_hinglish_hate,false_positive,19,hate,11
mbert,thar_religion,kaggle_hinglish_hate,false_positive,20,koi,11
mbert,thar_religion,thar_religion,false_negative,1,nahi,48
mbert,thar_religion,thar_religion,false_negative,2,bhi,40
mbert,thar_religion,thar_religion,false_negative,3,nhi,34
mbert,thar_religion,thar_religion,false_negative,4,aap,33
mbert,thar_religion,thar_religion,false_negative,5,log,33
mbert,thar_religion,thar_religion,false_negative,6,liye,27
mbert,thar_religion,thar_religion,false_negative,7,नहीं,24
mbert,thar_religion,thar_religion,false_negative,8,में,23
mbert,thar_religion,thar_religion,false_negative,9,धर्म,21
mbert,thar_religion,thar_religion,false_negative,10,tum,18
mbert,thar_religion,thar_religion,false_negative,11,allah,18
mbert,thar_religion,thar_religion,false_negative,12,din,18
mbert,thar_religion,thar_religion,false_negative,13,per,17
mbert,thar_religion,thar_religion,false_negative,14,pooja,16
mbert,thar_religion,thar_religion,false_negative,15,karne,16
mbert,thar_religion,thar_religion,false_negative,16,apne,16
mbert,thar_religion,thar_religion,false_negative,17,kisi,16
mbert,thar_religion,thar_religion,false_negative,18,sath,16
mbert,thar_religion,thar_religion,false_negative,19,कोई,15
mbert,thar_religion,thar_religion,false_negative,20,hum,14
mbert,thar_religion,thar_religion,false_positive,1,hindu,126
mbert,thar_religion,thar_religion,false_positive,2,nahi,79
mbert,thar_religion,thar_religion,false_positive,3,muslim,74
mbert,thar_religion,thar_religion,false_positive,4,bhi,72
mbert,thar_religion,thar_religion,false_positive,5,sab,48
mbert,thar_religion,thar_religion,false_positive,6,log,45
mbert,thar_religion,thar_religion,false_positive,7,islam,44
mbert,thar_religion,thar_religion,false_positive,8,aap,41
mbert,thar_religion,thar_religion,false_positive,9,koi,41
mbert,thar_religion,thar_religion,false_positive,10,nhi,40
mbert,thar_religion,thar_religion,false_positive,11,bhai,34
mbert,thar_religion,thar_religion,false_positive,12,dharm,33
mbert,thar_religion,thar_religion,false_positive,13,apne,31
mbert,thar_religion,thar_religion,false_positive,14,में,26
mbert,thar_religion,thar_religion,false_positive,15,allah,26
mbert,thar_religion,thar_religion,false_positive,16,hum,24
mbert,thar_religion,thar_religion,false_positive,17,raha,23
mbert,thar_religion,thar_religion,false_positive,18,sirf,23
mbert,thar_religion,thar_religion,false_positive,19,नहीं,22
